recommender,factors,alpha,regularization,iterations,MAP
ImplicitALSRecommender,103,7,0.0008866558623568822,15,0.014412444438115034
ImplicitALSRecommender,130,7,0.0008866558623568822,146,0.014573412698412846
ImplicitALSRecommender,154,7,0.0008866558623568822,88,0.014406719131011514
ImplicitALSRecommender,209,7,0.0008866558623568822,116,0.014157106026872496
ImplicitALSRecommender,108,7,0.0008866558623568822,40,0.01455978431149168
ImplicitALSRecommender,361,7,0.0008866558623568822,71,0.013434553281652611
ImplicitALSRecommender,286,7,0.0008866558623568822,142,0.013926523214543038
ImplicitALSRecommender,459,7,0.0008866558623568822,43,0.012888136063916502
ImplicitALSRecommender,127,7,0.0008866558623568822,142,0.01455361395546839
ImplicitALSRecommender,459,7,0.0008866558623568822,78,0.012943338942928068
ImplicitALSRecommender,56,7,0.0008866558623568822,112,0.014524078531156696
ImplicitALSRecommender,232,7,0.0008866558623568822,40,0.014098259680704339
ImplicitALSRecommender,68,7,0.0008866558623568822,49,0.01460978011814177
ImplicitALSRecommender,61,7,0.0008866558623568822,62,0.014661597658370223
ImplicitALSRecommender,50,7,0.0008866558623568822,57,0.014411318958846635
ImplicitALSRecommender,194,7,0.0008866558623568822,22,0.014182761613601273
ImplicitALSRecommender,327,7,0.0008866558623568822,63,0.013595102206968213
ImplicitALSRecommender,170,7,0.0008866558623568822,99,0.014416569547102576
ImplicitALSRecommender,397,7,0.0008866558623568822,52,0.013215274711885614
ImplicitALSRecommender,74,7,0.0008866558623568822,27,0.014602679115377328
ImplicitALSRecommender,270,7,0.0008866558623568822,91,0.013950542010244626
ImplicitALSRecommender,79,7,0.0008866558623568822,27,0.014615788278558766
ImplicitALSRecommender,98,7,0.0008866558623568822,34,0.014709151629947364
ImplicitALSRecommender,88,7,0.0008866558623568822,10,0.014049859127182046
ImplicitALSRecommender,147,7,0.0008866558623568822,33,0.01438218605655823
ImplicitALSRecommender,103,7,0.0008866558623568822,65,0.014596292168879796
ImplicitALSRecommender,186,7,0.0008866558623568822,27,0.014164318786365674
ImplicitALSRecommender,262,7,0.0008866558623568822,20,0.01395470074515058
ImplicitALSRecommender,230,7,0.0008866558623568822,35,0.014049403199288778
ImplicitALSRecommender,102,7,0.0008866558623568822,16,0.014551158274428799
ImplicitALSRecommender,130,7,0.0008866558623568822,50,0.014512132429152374
ImplicitALSRecommender,69,7,0.0008866558623568822,49,0.014594084726237643
ImplicitALSRecommender,84,7,0.0008866558623568822,59,0.014585880002152213
ImplicitALSRecommender,52,7,0.0008866558623568822,68,0.014609825612031266
ImplicitALSRecommender,127,7,0.0008866558623568822,74,0.01455744829916167
ImplicitALSRecommender,157,7,0.0008866558623568822,88,0.014544545836478552
ImplicitALSRecommender,51,7,0.0008866558623568822,66,0.014571940080987073
ImplicitALSRecommender,101,7,0.0008866558623568822,31,0.014520170012643469
ImplicitALSRecommender,124,7,0.0008866558623568822,84,0.014577611982220375
ImplicitALSRecommender,82,7,0.0008866558623568822,42,0.014533649060927065
ImplicitALSRecommender,147,7,0.0008866558623568822,132,0.014541160497695401
ImplicitALSRecommender,70,7,0.0008866558623568822,48,0.014640477614632755
ImplicitALSRecommender,114,7,0.0008866558623568822,69,0.01460666576470104
ImplicitALSRecommender,96,7,0.0008866558623568822,56,0.014567664644364571
ImplicitALSRecommender,73,7,0.0008866558623568822,77,0.014565364235948031
ImplicitALSRecommender,57,7,0.0008866558623568822,38,0.014639639933666057
ImplicitALSRecommender,140,7,0.0008866558623568822,38,0.014455472756676722
ImplicitALSRecommender,410,7,0.0008866558623568822,44,0.013217453473597283
ImplicitALSRecommender,172,7,0.0008866558623568822,24,0.0142181865186179
ImplicitALSRecommender,493,7,0.0008866558623568822,10,0.01262914726253419
