recommender,alpha,MAP
RP3betaP3alpha-Slim,0.9925788641347505,0.018926536155778512
RP3betaP3alpha-Slim,0.8722849315280512,0.019496930410334765
RP3betaP3alpha-Slim,0.25667161881241374,0.019702175521330245
RP3betaP3alpha-Slim,0.4298592362419599,0.019751490318161268
RP3betaP3alpha-Slim,0.4047235102842288,0.019749470815160475
RP3betaP3alpha-Slim,0.17563976278069826,0.019683105039544607
RP3betaP3alpha-Slim,0.08923711387259181,0.019647178387678568
RP3betaP3alpha-Slim,0.2483291364498671,0.019699231066228704
RP3betaP3alpha-Slim,0.8401117331812581,0.019569655855830703
RP3betaP3alpha-Slim,0.6312960574365338,0.01976419144781605
RP3betaP3alpha-Slim,0.1371670475613519,0.01966551651998623
RP3betaP3alpha-Slim,0.5684616383811849,0.019772622547329963
RP3betaP3alpha-Slim,0.5386633267028352,0.019770511605282995
RP3betaP3alpha-Slim,0.4001670950461822,0.01974670776451194
RP3betaP3alpha-Slim,0.27581592765263097,0.019702990310994897
RP3betaP3alpha-Slim,0.7263519195849094,0.019722565784367024
RP3betaP3alpha-Slim,0.5482914273682409,0.0197687002713783
RP3betaP3alpha-Slim,0.25043063751342165,0.019699819622845404
RP3betaP3alpha-Slim,0.2700201474377246,0.019703500333162028
RP3betaP3alpha-Slim,0.3142237080128787,0.019718902048418276
RP3betaP3alpha-Slim,0.8549704940074434,0.019542584528235377
RP3betaP3alpha-Slim,0.7000107636746409,0.0197339422535122
RP3betaP3alpha-Slim,0.9843162864586034,0.018985324134731033
RP3betaP3alpha-Slim,0.3437444129150069,0.019730366411761555
RP3betaP3alpha-Slim,0.5157710901788303,0.019771815152886202
RP3betaP3alpha-Slim,0.041372955720503035,0.019629512086613357
RP3betaP3alpha-Slim,0.8924617962283118,0.019433618144876028
